id,tmdbId,original_language,title,original_title,overview,poster_path,tagline,keywords,release_date,genres
1,862,en,Toy Story,Toy Story,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,Hang on for the comedy that goes to infinity and beyond!,"rescue, friendship, mission, martial arts, jealousy, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness",1995-10-30,"Animation, Adventure, Family, Comedy"
2,8844,en,Jumanji,Jumanji,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,Roll the dice and unleash the excitement!,"giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel",1995-12-15,"Adventure, Fantasy, Family"
3,15602,en,Grumpier Old Men,Grumpier Old Men,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,Still Yelling. Still Fighting. Still Ready for Love.,"fishing, sequel, old man, best friend, wedding, italian restaurant, old friends, duringcreditsstinger, pranks",1995-12-22,"Romance, Comedy"
4,31357,en,Waiting to Exhale,Waiting to Exhale,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,Friends are the people who let you be yourself... and never let you forget it.,"based on novel or book, interracial relationship, single mother, divorce",1995-12-22,"Comedy, Drama, Romance"
5,11862,en,Father of the Bride Part II,Father of the Bride Part II,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own.",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,Just when his world is back to normal... he's in for the surprise of his life!,"daughter, baby, parent child relationship, midlife crisis, pregnancy, confidence, aging, sequel, remake, los angeles, california, contraception, gynecologist",1995-12-08,"Comedy, Family"
6,949,en,Heat,Heat,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,A Los Angeles crime saga.,"robbery, chase, obsession, detective, heist, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, ex-con, one last job, loner, bank job, neo-noir, crime epic",1995-12-15,"Action, Crime, Drama"
7,11860,en,Sabrina,Sabrina,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,You are cordially invited to the most surprising merger of the year.,"chauffeur, sibling relationship, paris, france, long island, new york, fusion, millionaire",1995-12-15,"Comedy, Romance"
8,45325,en,Tom and Huck,Tom and Huck,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,The Original Bad Boys.,"based on novel or book, mississippi river, male friendship",1995-12-22,"Family, Action, Adventure, Drama"
9,9091,en,Sudden Death,Sudden Death,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,Terror goes into overtime.,"explosive, hostage, ice hockey, terrorism, vice president, pittsburgh, pennsylvania, pittsburgh penguins",1995-10-27,Action
10,710,en,GoldenEye,GoldenEye,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon",/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,No limits. No fears. No substitutes.,"computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army",1995-11-16,"Adventure, Action, Thriller"
